ALABAMA	Birmingham	Very affordable, no traffic, easy parking, lots of green space, great food with some nationally-acclaimed restaurants (and can afford to go on resident's salary). Hiking within 15min of the hospital and tons more options within an hour's drive. Small town friendliness with mid-sized city amenities. < Many larger cities within easy driving distance (Atlanta, New Orleans, Nashville) and beaches in S Alabama/FL panhandle	Church and college football can play an oversized role in city life. Still can feel very segregated. Local and state politics filled with corruption. High monthly water bills due to aforementioned corruption. The worest roads of any city, seriously had a tire bust from going 40 and hitting a pot hole.	They're trying to improve it, but not great. Definitely need a car+2	Hot and humid summers. Mild winters. Snow is rare. Tornadoes are a thing.	Most people are married by 25 and arent interested in dating anyone more distant than a fourth cousin. Pretty religious down here. << this is absurd. people in birmingham aren't incestuous. It feels like there's someone here with a thing against bham	Not great; improving though+1	meh<< Very diverse in the city, less so in rural areas <<sure its better than other parts of alabama...but no way in hell would i call it "very diverse" << do you actually live in Birmingham proper??	its weird because there are less people in birmingham I feel unsafe around compared to other cities...but for the people feel unsafe around..I feel 100x less safe around them compared to your typical urban bozo. These people are legit crazy. Will follow you relentlessly or point a gun/knife at you. Fucking terrifying. Not just birmingham but Alabama as a whole << I have lived here 20 years, never had a single person follow me with a gun/knife, however Birmingham is consistently listed as one of the most murderous cities in the country
MINNESOTA	Minneapolis	Lots of park during summer; good food options; relatively liberal (can be pro or con i guess); great outdoor walking/running space; 2nd most bike friendly city in the US. More affordable than other cities (like Denver). Very little traffic, suburbs are only like 15 minutes away if you want to buy a house and commute.	Harsh weather( snow,cold-norm), absolutely not walkable (need car); high (mostly petty) crime rates, can be tough to break into the Midwest social scene since people stay here forever and hang out with their HS friends +2 Very complex patient population	Transportation Exists but sucks/can be dangerous. Most things aren't on the train lines and therefore dificult to get to without mutliple exchanges + walking in between. The buses are good but they're buses (slow and overcrowded). if you move here you need a car.	Summers are nice but can be humid and get really hot. Winters are cold and snowy as fck. Fall is super short but actually super nice. Spring is short too. Think LONG COLD BRUTAL winter, short spring, decent sometimes HOT summer, short AF fall, repeat.	Pretty good dating scene. Lots of affordable date options and a big dating pool (lots of people move here for work, or came here for college and stayed).	Great LGBTIA+ community/support here and a very welcoming environment but it might be harder as LGBTQ POC >> my partner and I love the local LGBTQ community. Black Hart of St. Paul is a long-standing historical bar in St. Paul that feels like home to us when we walk in. Lots of visible queer femme couples there on weekend nights. Also, check out Girrrl Scout, an organization that puts on queer dance parties every month or two. They're a blast and its feel like heaven for us as a lesbian couple, but tickets tend to sell out before the event so you have to be on your shit. The vibe in the Twin Cities is incredibly queer positive and we feel safe with PDA in public, etc.	Pretty white but a substantial Black population (that is a combination of Black immigrants and Black Americans). The white folks tend to lean liberal but it is far from a perfect city (see George Floyd, Daunte Wright, Philando Castile). In my experience as a non-Black POC, people tend to socialize in racially segregated pockets. Because of interesting patient population (Hmong, Somali immigrants) you get exposed to more interesting cases than you might in Madison, for example >> If you're Native American/Alaska Native there's great Native community here.	Relatively high crime for a college town. Not great.
MINNESOTA	Rochester	World class toilet wine scene <<yeah and toilet-class world scene. idk if that made sense but what im trying to say is life in rochester aint great, "life in rochester aint great" +1 to that especially as someone who moves from a diverse, big tropical city you will not like it.	Is the weather really as bad as I hear?? < Yes. I interviewed here 4 years ago for med school and remember the cold to this day. <Also if you are from the coasts/bigger city the food scene is non-existent. < Residents ordered Taco Bell and Chipotle as their food options for happy hour dinner < M4 here, Food is really bad. There is one good chinese noodle place that has some authentic dishes and one good thai place (but still American thai, nothing like you can get in LA or other large cities). The rest is crap. The food in the St. Paul/Mn is also very limited and not worth the 1.5 hr drive. +1 If you are vegetarian there is hardly anything for you.	Have an intercampus shuttle that transports employees from st mary's campus to downtown campus, no need for public transportation as residents get free parking. City does have public transit but mostly under utilized due to lack of need. Most residents buy a car	Is it really as bad as everyone says it is? <unfortunately yes < Not at all, February is the coldest, otherwise like everyother location, you get used to cold and learn to adapt. 50 degrees could be cold to some, warm to others, get wool socks and down coat. < As a Minnesotan once you've been to Rochester I don't think anyone would agree the cold there is subjective lol < Yes, this is bullshit lol. The weather is ass from November to May. April is cold and windy and with minimal sunsine. Summers can be hot and humid. There is only a couple of months of the year where I would classify the weather as good.	Lol + 11 < Dating scene is more favorable to men vs women as more women in the population and not enough guys.	young liberal city due to mayo. program has lgbt/dei committee>>> how is dating??? dont want to be single throughout residency lol	Draws patients from all over the world, so most of the diversity is in patient population, has a larger somali population--> Essentially no black or hispanic patients.	Small town, very safe, ppl are nice and friendly
MISSISSIPPI	Jackson	underrated city! great food scene especially for the size. it is smaller but everything is very close and convenient; lots of housing options near the hospital. amazing cost of living can easily buy a house. lots of new things popping up and things to do. you are only 3 hours away from NOLA and close to other bigger southern cities. Oxford, MS and the MS gulf coast are great places to visit.	roads are terrible and water is a major issue in jackson city limits. crime is also getting to be a bigger problem within the city limits. luckily there are very safe options in neighboring cities (flowood, ridgeland, madison) with better roads and water within 15 minutes of Jackson. Reigning champion in being rated the worst city in the U.S. for women	nope	very hot in the summer but fall and spring are very nice. very tolerable winters	bad	friendly	will recieve extremely diverse patient population	
MISSOURI	Kansas City	Fun city, lots to do. Food scene is great and lot more diversity than you think. May have to drive out to Overland Park/Olathe, KS to find other ethnic food. Cost of living is cheap unless you plan on living on the river front where the apartment buildings think they are in New York/LA. City skews more young and liberal. Definitely need a car to get around. Public transport sucks. Did I mention shit ton of breweries and BBQ? Make sure to live on the Missouri side though! (MO side is great, but if you have school aged kids, KS side suburbs have better schools) << Taylor Swift (lol I doubt she would want to live here)	Johnson County cowboy drivers (KS) suck major ass! <<City with the largest % increase in COL this year.    Not diverse at all, very white city. If you're looking for good asian restaurants good luck to you. Also there's nothing surrounding KC that's fun enough to do a day trip to (unless you like the nothingness of rural Kansas or Missouri). Omaha/Des Moines/OKC are so meh. Dallas and Chicago are 8 hours away and Minneapolis is too cold (and also 6+ hours away anyway). Living here feels like you're stuck in the middle of nowhere even though you live in a city.	Public transportation has been expanding in the last few years, but it's not at a point where it is reliable. You will definitely need a car to get around.	We experience all four seasons with really humid summers. It snows about 3 or 4 times each winter, but never more than a few inches.	okay, but not the best. Most people are married or engaged by 25. << Literally no one I know. Dating here is rough dude. Lots of single medical professionals though if you like to mix business with pleasure     Agree with the above, people are attached to their lives here so if you have no plans to stay after residency, probably gonna be tough	Very friendly	Skews white	Pretty high crime rate, leans more violent compared to a lot of places
MISSOURI	St. Louis	affordable, lots of free or cheap things to do, great enormous park, diversity of food options, no traffic, overall an easy place to live	Not a great downtown area, looks abandoned now. Relatively small city, the airport doesn't have as many direct flights internationally and not *as* many direct flights across the US (you can still get to Boston/SF/NYC without connections, but if you want flexibility in travel times, you may have to pick up a connection in Chicago or Detroit). Racial segregation is apparent in the city, specifically in the north city areas, although not places you are likely to encounter, although I don't think this is that much worse than other cities but is more publicized in the wake of the Ferguson Uprising. <highest violent crime of any city in the nation.	There is public transport, but it isn't ideal. There is a metrolink that connects at the medical center and can take you out to the county or into the downtown areas for events downtown (sporting events, etc). There is also a bus hub right at the medical campus that can get you anywhere in the city, but they don't run super frequently. Would not consider this as an option for living further out and commuting. That said, most of what you want to do in STL is nearby to the medical center so there isn't a huge need for those public transport outside of the area.    It is a midwestern city that is not Chicago, therefore, unsurprisingly, the public transit is not great. Parking is abundant.	All the four seasons, pretty mild winters (another opinion: mild is relative, it can get below 0F here, it is DEF an adjustment for southerners). Summers are pretty humid and hot and August is usually a bit unpleasant. +1 Another opinion: woul dsay that winter is definitely mild compared to northern cities, people from Cali/anywhere significantly far south may not feel that it's mild. It's definitely 'you need to own a heavy winter coat' mood.	This is probably one of the weakest areas of this city. There isn't a huge population of educated and available young people that I imagine would be of interest to many of you. There's a sizable county population but those young folks tend to be a bit more conservative, and the populations way out in the county often tend to be married younger and such. Most people I know who have tried to date here end up mostly connecting with others affiliated with WUSTL or SLU just by happenstance.	The city itself is really socially liberal and I think my LGBTQ+ friends feel safe and respected. The Grove, near WashU, is filled with gay bars and is where many of my gay classmates have lived. WashU has a significant OutMed program that connects faculty and trainees who are LGBTQ+ so I think the university in general works hard to be welcoming. >>>what about programs in SLU?	About what you might expect: there is a sizable Black population in the city, but much less so in the county. The CWE is predominantly white, but there absolute is a minotiry population there. Tower Grove South/The Grove/Shaw has more sizable minority populations. There are relatively sizable Jewish, Indian, Thai, Bosnian, and Pakistani populations in the metro area. Compared with many cities, there is not a huge hispanic population, although Cherokee street and the surrounding area does have a high proportion of hispanic people, but they don't make up a huge amount of the city population.	Terrible. That said, I haven't witnessed any crime in 3 years.
NEBRASKA	Omaha	Very affordable, quiet, bomb steaks and ice cream, excellent and diverse restaurant scene all around, nice people, corn, world series. Lots of nice, new, reasonably affordable apartment buildings in areas immediately surrounding UNMC (particularly in Midtown and Blackstone). The zoo is one of the best in the nation. Residents could probably afford to buy a house if desired, definitely so if you have a working SO. They have horse carriage rides. It's for cringe tourists but I still identify as a cringe tourist despite living here for 6 years	Not a whole lot to do outside (pretty flat), winters can be brutal and summers >90 degrees and humid on most days in June through August	Virtually nonexistent. City has been trying to expand the bus system and potentially get a streetcar, but there has been significant pushback from residents. Very car-dependent city, very spread out and not many walkable areas	Humid summers that usually reaches 90-100F. Winters recently have been doable without dedicated snow tires although the wind chill can really get to you.	Mediocre. People tend to marry young, similar to other midwestern cities.	The state of Nebraska has signed legislation that is essentially LGBTQ+ unfriendly, but there is a gay bar in downtown Omaha. Omaha is also relatively politically conservative for a large city.	Omaha is the most diverse region in Nebraska with refugees, Hispanic, nearby American Indian reservations, and African American populations. Rural Nebraska is predominantly White.	North Omaha and Council Bluffs (across the stateline) are the most impoverished regions of the Omaha metropolitan area being redlined and historically ignored by the city with lead poisoning. Otherwise some property crimes even in the affluent West Omaha area.
NEVADA	Las Vegas	Near world class entertainment, food scene is amazing, near major cities in the West Coast for easy quick getaway whenever you want, COL is low comparable to California, sports are up and coming. Thirsty ladies on vacation, too easy	Everyone here is a transplant so doesn't have an innate culture compared to other cities yet, traffic ones everywhere is actually a running joke how much construction happens here, miserable drivers who forget to turn their lights on at night, summers can be brutal.	there are buses but you need a car especially with the gruesome summers	110 degree summers, spring and fall are amazing, rare flurries in the winters	Pretty tough considering a lot of people are from out of town, but manageable	Very strong support	Fairly diverse	
NEVADA	Reno	Great summer weather, lots of outdoors activities, cost of living is reasonable, and despite what locals say traffic isn't actually that bad compared to other cities	College town, food options aren't really great, city isn't exactly diverse	Almost non-existant	Very nice summers, reasonable spring and fall, snowy and cold winters		?		
NEW JERSEY	Camden	Close to Philly. Has a nice aquarium. <<yeah but how often are you going to the aquarium?	Known historically as one of teh most crime-ridden cities in the country. Will definitely need a car to get around.						
NEW JERSEY	Morristown								
NEW JERSEY	New Brunswick	decent food, close to nyc (1 hr on train) hospital is right outside train station, close to princeton and fairly diverse population	it is suburban, so in order to go to most places really useful to have a car.	nj transit train to city, and can go to philly via nj transit --> septa. There are buses but personally never taken it. Rutgers buses run and are free I believe. Small city, to go outside though useful to have car	4 seasons	LOL, lots of grad students but prob expand your limit to the city		Diverse in the city, surrounding areas mostly White and Asian Indian	
NEW JERSEY	Newark	Diverse population, close to NYC. Food is just about edible	You cannot live here, crime is a major problem sadly. Basically, see the Philly response and that's Newark), stinky the way NYC is < eh I'd disagree with that, downtown is up and coming with a lot of nicer apartment buildings and a whole foods, but definitely not that much going on in Newark itself + A LOT of traffic. rat-infested	very nice areas to live around it, city has lots of culture and good and bad parts, but if you are not from the area it would be better to live 15 or so minutes away in a less urban town	Typical East Coast	Great place to pick up international layovers hanging around the airport IKEA. See the NYC response below, you should definitely expand your search to Jersey City/Hoboken/NYC. If you have a car, you can also head north and west to Morris, Essex, Bergen counties to meet suburbanites who still live with their parents. Having a car is essential for NJMS, as well as traveling more for your dates but theoretically you can take a train into NYC. The rats here wont stop having babies so clearly love is in the air		Large Black population in most of Newark, Ironbound/University areas more mixed	Newark is extremely safe, despite the stereotypes. Even its "bad" areas (around the Beth Israel residency) are better than most major cities.
NEW MEXICO	Albuquerque	lots of outdoor activities such as hiking, trail running, biking, skiing. Growing brewery scene. Lots of good food. Housing relatively inexpensive	Not a lot of big city attractions, downtown not as developed as larger cities, if you want to date a lot it might be a bit tough...I literally saw someone get mugged behind a store in broad daylight a few years back in Albuquerque, so...crime is a problem. //////Really bad swamp ass, had to wear two pairs of underwear per day	not great	get all 4 seasons, mild winter with some snow is typical, summer can get up to 100 degrees, beautiful fall, windy spring	not great	great support for LGBTQ+ community.	Mainly Hispanic and Native American populations	
NEW YORK	Albany	Low COL, decent hiking, diverse food options, great museums	Very little to do apart from what was mentioned in Pros, one of the most boring cities in America		Mild summers, long snowy winters		Very good	Mostly White, small Black, Chinese, and Filipino populations	More dangerous than NYC, average Rust Belt city
NEW YORK	Bronx	A lot of great food from many different communities (Dominican, PR, Bangladeshi), more spacious and affordable apartments. Lovely greenspaces with easier ground travel to other mainland US interests (hiking, skiing, etc). Also where my dealer lives, he got me some Paraguayan shit the other day, wild....	Very spreadout compared to Manhattan and other boroughs. If you plan to travel into Manhattan, it can take a long time to get there depending on where in the Bronx you live.... Cons would be you could meet real BX people like me and get stained for ya ishh B.... don't come around here if you ain't tough B we check weaklings who don't belong wrd 2						
NEW YORK	Brooklyn	High COL, many malignant programs, commuting can potentially be a pain. People tend to generally keep to themselves in public so if you value saying hi to strangers then you'll experience some culture shock. >> COVID hotspot, so you can take that as a con or a pro depending on how public health/ID interests you. >> its a big city, but it is pretty easy to feel lonely +1 < its quite busy and packed and for people who are used to a slower/more calm pace of life, it can be dizzying and disconcerting. depends on what exhuasts you. you can also feel trapped in the city and if you need nature to escape, you're going to have to travel a bit to find it (upstate new york) although people do manage to do this as well. Nursing union in NYC is also very powerful - at a lot of places, the nurses will refuse to do blood draws and do not respect your time. They will have no qualms about trying to interrupt your didactics time to deal with something that's annoying them. On the flip side, sometimes they won't let you know when a patient is really sick. < expensive and patient volume is high so you may feel like you are living in the greatest city in the world but you dont have time or money to experience its greatness < a lot of things considered standard in most places are non existent here re. housing (laundry in building etc). <<<< i LOVE BROOKLYN. ive been downtown brooklyn for 3 years and i love it here. yes i pay a lot for rent (i had to downsize this year RIP and its still stupid expensive), but i love the city. right next to like 10 subway lines. honestly i have no complaints	how are housing prices compared to manhattan? < Slightly cheaper but still VERY expensive. Depends on neighborhood but along with price drop also comes the drop in amenities (restaurants, bars, etc) Any area close to the East River towards Manhattan is expensive and you will need to have roommates ( 2 br ~3500, Studio 2800). Further away in prewar apartments (old) rent is lower but places like Park Slope, Williamsburg, Bed Stuy are still expensive. Close to SUNY Downstate there are lots of new builds with great introductory prices for modern amenities builidng. Be prepared to go through a gruesome applicaiton process for housing (it is more like filing your tax returns in terms of effort). Listings move fast (you have to decide within the day if the apartment is yours) and you often pay realtor fee (1 month rent). But having said that everyone gets an apartment this way and you only have to do this hopefully once.	HOW LIVABLE AND ENJOYABLE IS THE CITY ON A RESIDENTS SALARY? Your salary does not go far but if you are sharing the cost of living with others (roommates) you can enjoy the city. Also there is a diverse range of activites that caters to different budget levels. Getting to Manhattan from Brooklyn is fantastic. Traveling to other boroughs and withing Brooklyn can be a pain, but if you live next to a subway stop helps.	Four seasons! all beautiful to take in at Prospect Park- Brooklyn's back yard	go to manhattan <- bad take+1 Williamsburg and Bushwick can hold its own     On the one hand, very few bras, on the other hand, hairy			Very safe outside Bedford-Styuvesant and Canarsie, and even the "bad areas" are safer than most major American cities.
NEW YORK	Buffalo	Friendly people, pretty diverse city for the size, lots of food options, tons of summer festivals in the city, just has an overall charming quality that people tend to fall for, chicken wings, the Bills, on Lake Erie, little to no traffic, very affordable housing, Canada/Toronto very close for a day trip, lots of hiking, skiing and wineries a short drive away	Weather can be tough in the winter becuase it sometimes snows a lot. All the limitations of a mid-size city.	Pretty limited. There is a very limited subway system and a decent bus system. Would need a car as a resident	Typical northeastern summer and cold in the winter (because it snows). Summers are very nice and not too hot, able to comfortably run outside most summer evenings. Winter is tough but not that much worse from living in the midwest. Covered parking is a must for a residnet ... Snows alot because Buffalo is in a snow belt. You have to be ready for tough winters here. Surronding areas even an hour away will get substaintially less snow because it falls out of the snow belt.	Lots of young people << not a lot. Been here for some time now. Not a good dating scene	LGBTQ friendly	White and black	More dangerous than NYC, average Rust Belt city
NEW YORK	Long Island	Close to NYC, good food scene, lots of places are growing and are young people friendly like Mineola, Huntington. Beaches are good, so long as you stay on the South Shore. Good wineries out East.	Expensive, expensive, expensive.... also the people are an acquired taste (source: LI'er born and bred and attempting to flee) +2	Limited, car is best. LIRR is only for LI to NYC tbh. There is NICE and Suffolk transport but its busses and very limited.	See NYC column	B+ (there's options....)	Could be better	LI is actually one of the most segretated places w.r.t. housing in the USA (thanks GI bill) but b/c everyone is in close proximity you can definitely find anything	
NEW YORK	NYC	Da Big Apple baby. Capital of the world. One of the greatest cities, extremely diverse patient population, large number of programs with varied competitiveness, food scene is 11/10, great public transportation, the people here are amazing -- all that i ask is that you don't take up space where you shouldn't and don't waste our time < Preach. NY has energy and if you don't or can't adapt then please stay out. < best city in the world. can find everything here +1 <people are rude but kind as opposed to other places where they are polite but...?	Extremely high COL, like 4K for 1Bed, most of the programs are malignant, workhorse programs, and a lot of them are low resourced so you're doing a lot of non-educational non-resident type tasks that take away from the resident tasks and learning you're supposed to be doing. Commuting can potentially be a pain, if you have a car it's about $500/mo to keep it no matter where you are, so you have to live right by the hospital or your commute will suck. People tend to generally keep to themselves in public so if you value saying hi to strangers then you'll experience some culture shock. >> COVID hotspot, so you can take that as a con or a pro depending on how public health/ID interests you. >> its a big city, but it is pretty easy to feel lonely +7 it's hard to make friends if you don't have some already, especially working the hours of a resident. its quite busy and packed and for people who are used to a slower/more calm pace of life, it can be dizzying and disconcerting. depends on what exhuasts you. you can also feel trapped in the city and if you need nature to escape, you're going to have to travel a bit to find it (upstate new york) also have to go all the way to long island or so if you want access to a beach, summer in the city can be pretty rough. Nursing union in NYC is also very powerful and goes back for decades - at a lot of places, the nurses will refuse to do blood draws and do not respect your time. They will have no qualms about trying to interrupt your didactics time to deal with something that's annoying them. On the flip side, sometimes they won't let you know when a patient is really sick. >> at my shop, the RNs refuse to do ECGs. They legit told it me was inappopriate for me to ask them to do an ECG, and that it is the MD's responsibility. >> City is not safe at all, if somebody is harassing/attacking you, nobody will turn back or even look.	Great subway system but expect delays (although less so in the early morning) << trains are overcrowded during key work start and end times, which can actualy be avoided depending on your schedule. I highly recommend living near the hospital. Yes the subway is amazing compared to other cities, but the MTA will suck your soul if you have to commute long stretches every single day. And I say this as a native Noo Yawka!    Within Manhattan, the subway is the way of life. In outer boroughs, (Queens, Brooklyn, Bronx) the subway is less dense and the bus system is more important. Fortunately, you can transfer between the subway and bus (1 free transfer). In theory, this allows you to get anywhere in NYC on a cheap flat rate ($2.75 currently), although commute time will obviously increase. The MTA works at its best when your home and your work are in a direct subway or bus line without need for transfer, ideally keeping commute times to 20 min or less. Another important note is that the MTA runs 24/7 so you don't have to worry about being stranded at odd times, although train/bus frequency drops at late night hours.	Four seasons but spring/autumn feels comparatively shorter to winter/summer << summers are getting much hotter and nyc goes compeletely dead in the summer because everyone leaves. Cold isn't that bad.<<NYC gets dead in the summer because everyone leaves? Few things I've read about NYC that are more untrue than this.	A+ << horrible for women, amazing for men. The male to women ratio is skewed so that men have the upper advantage and plenty of amazing women to choose from. Ultimately results in men playing games // How hard is it to date in NYC as an Asian-Indian? > As an Asian-Indian woman I have only ever lived in SF and NYC. I think for me dating in SF was easiest, given that there are so many talented, good looking, professional men in SF. NYC was a bit harder for me, I don't get as many matches on OLD as I did in SF, but its still not bad! < something for everyone! lots of professionals here- not just medical so you get to meet peopel who are different and diverse. although theres something to be said about having too many options. I've heard that its easy to date and harder to find a serious relationship <<< TERRIBLE FOR WOMEN!!!! this is coming from a woman <<<dating has been so good for me as a man that i imagine if must be terrible for women. bar must be so low if they find me attractive	I mean...Couldn't be better +1+2 +3	You won't find more than in NYC that much I can say. Some boroughs have less diversity than others (Staten Island....not much, also it's Staten Island enough said)	HIghly dependent on neighborhood. < Not true. NYC is one of the safest cities in America, even the Bronx is safer than many cities such as Pittsburgh.
NEW YORK	Rochester	Not cool with people deleting comments???? Mid-sized city with plenty of charm and good sense of community. Coffee and brew scene is great. Reasonable COL, stellar food scene, lots of parks and small hiking trails (no big mountains tho), ~45 mins from decent ski mountain. Good access to water sports and fishing, although not a ton of paddling opportunity. Areas surrounding hospital are bikeable. People from Rochester love Rochester.	Downtown area isn't super lively - with most of action happening in the outskirts. One of the snowiest areas in the entire US. Crime high in pockets. Where redlining was invented << Effects of redlining are still seen but it definitely wasn't invented here	URMC has a free bus that picks up employees and students from select locations. The Rochester City Bus system is actually quite good but can be kind of seedy. Access to Amtrak. Airport went downhill around Covid, but the Buffalo airport still offers access to all the places you'd want to go.	Summers are the perfect temperature every day. Winters can be cold and snowy. They do very well with road plowing.	Favorable dating scene. Lots of young people.	LGBTQ friendly	Very diverse city	Very high in pockets. Generally safe directly surrounding hospital. < Relatively safe surrounding U Rochester and RRH-UH. RGH is in most dangerous part of city.
NEW YORK	Syracuse	Relatively low COL, people are pretty friendly. Lots of breweries in the area and decent coffee scene. Summer and fall are beautiful upstate. Downtown is making a lot of improvements over the past couple years and pretty lively. SYR airport has been increasing direct flight destinations and frequency of flights.	High poverty, lots of crime (shootings, stabbings) in vicinity of the hospital.		Summer is usually pretty mild with one or two weeks of hot humid weather. really bad winters; winter lasts from Late October to late March/early April. Sometimes it snows a little bit in May. worst of all is the extreme amount of the road salt. You will never be able to keep your car clean in the winter and the city has a lot of uneven pavement where salt water pools on the sidewalk in crosswalks. When you walk to the hospital in the winter your pants will be covered in salt.			Not the most Diverse area but A good mix of a white and black population with some refugees from Africa, Middle East, south east Asia.	
NEW YORK	Valhalla	Home of Westchester medical center. Opinions please!?? > Valhalla itself is not that exciting BUT Westchester is filled with many great small towns 5-15 mins away such as Tarrytown, Sleepy Hollow, Pleasantville etc. These are all more suburban areas but have plenty of cute shops and restaurants to see. Another benefit is the close proximity to NYC - you can either hop on Metro North and take an hour long train to Grand Central, or drive in (~30 miles away.)	Lower CoL than NYC, can get more bang for your back, but ofc not as "exciting" of a place either. Things get sleepy after 8-9 pm.	Westchester is a car dependent suburb. While local public transit exists, it's not a good option for getting to WMC or any of the affiliated sites. Metro North can get you to Harlem/NYC for about $20 round trip off-peak and $26 round trip during peak hours; last train out of NYC is at 2 AM and first train is at 5 AM. Parking at train station is about $10 for ten hours. Amtrak out of Croton-on-Hudson can bring you up to Albany or Buffalo/Canada.	Four seasons. Winter is cold but not particularly snowy. Summer can get hot and humid.	Okayish. People in the surrounding towns are mostly college educated professionals, but you'll have to engage in those communities to meet someone. NYC is close enough that you could date in the city if you were comitted to it.	LGBTQ friendly.	Pockets of diversity, nothing compared to NYC but Westchester Medical itself has good diversity in its faculty/residents esp because there are many IMGs	IMO very safe.
NORTH CAROLINA	Asheville	Some walkable neighborhoods in downtown. I feel safe when I walk around. Great food. Good hikes <1hr drive away including Black Balsam Knob, Crabtree falls, Craggy Gardens, lots of waterfalls. Never cold than 10F, beautiful fall. 1 bedrooms around $1500.	Very car dependent outside of few areas. Mission hospital is HCA hellhole with abysmal staff satisfaction. Many of my. VA attendings came from Mission.	none	Snows ~4 times a year. Summers brutally hot. Fall, Spring, and Winter are amazing.	Very white. Not a lot of things drawing people to the area such as tech firms, banks, big engineering companies, etc. Hard to meet successful women.	Heavily supported	See dating	
NORTH CAROLINA	Charlotte	Feels like a clean, accessible ATL. TONS of breweries. Also, the hospital is in a super nice, ritzy part of town and is considered a very safe area. COL very reasonable , plenty of mid/small market sports teams (hornets, panthers, new MLS team) and super great location to other outdoor things (2 hours to asheville for hiking, 2 hours to NC beaches, 3 hours to charleston, SC)	Honestly not much.	Meh, no one I know uses it	Super mild.	Overall pretty good- lots of young professionals (law, banking, business, medicine, etc)	Friendly	Wide variety in patient population and city composition.	
NORTH CAROLINA	Durham/Chapel Hill	Very green, lots of trails/hiking nearby. Rich community and history. ~3 hours from both the beach and the mountains which are great for weekend getaways or even a day trip.	If you're from a bigger city Durham/Chapel Hill will feel very small and claustrophobic. Drive ~15-30 minutes to get around anywhere you need to go in the triangle area (Raleigh, Durham, Chapel Hill). CH is definitely pretty sleepy, Durham has an okay food scene but likely will obvi let down compared to NYC, LA, Chitown etc. i-40 gets suprisingly bad traffic during rush hours so if youre commuting between raleigh it can be a drag.	There are buses but most students/residents drive; some live close to campus and walk.	Very hot and humid in the summer; spring and fall are perfect; winter rarely snows	It's a small enough city that you may bump into someone you went on a date with (at least, pre-covid). but it's a metro area of 2 million+ people when you factor in durham, chapel hill, and raleigh // overall pretty good! lots of young professionals (medicine, research, tech) moving to the area, one of the fastest growing areas in the country, also pretty diverse	Pretty Friendly overall from establishments(duke, UNC) but Research triangle park(consists of Durham, CH, raleigh) is definitely a "bubble" in terms of "blue" compared to the rest of the state, will definitely have patients who arent so friendly.	CH pretty much a college town, pretty white/empty when schools not in session. Durham more diverse with some urban population, immigrant pop as well.	
NORTH CAROLINA	Lumberton	lot of lumbar	Lumberton is one of the most dangerous regions in the United States and has the highest crime rate in NC. Lots of crime, poverty, and generally not much to do.						
NORTH CAROLINA	Raleigh								
NORTH CAROLINA	Winston-Salem	Low cost of living, nearby hiking, very family oriented, downtown arcades and restaurants, pretty much any store you need on Hanes Mall Blvd, mall with Dave and Buster's and virtual reality arcade, parks, 30 minutes from Greensboro and 1 hour from Charlotte and Durham, has a minor-league baseball team as well as Wake Forest University sporting/entertainment events	Not much to do, geographically segregated by highway 52	Very poor	Very mild overall	Terrible	Not great		
OHIO	Cincinnati	City is beautiful and has so much more variety in the landscape than most of Ohio. -Tons to do, great breweries and local restaurants/shops -Plenty of sports to go to (until this year they often weren’t good but still fun) -Awesome parks -Cost of living isn’t terrible	YOU WILL HAVE ALLERGIES, we're in this weird geographic basin that collects pollen and bad air, so there's surprisingly poor air quality. It's a swing state, so while your vote does matter, you also get bombarded with political ads. It also is the most 'southern' of the Ohio cities. City-wise, the vast majority of the neighborhoods around the hospital/UC are pretty decrepid and not well maintained - kind of depressing to drive around and it doesn't seem super safe tbh. \\The chili here is ass. Somehow more ass than ass itself. Beef tastes like its made from the rubber of shoes that have been dunked in a taco bell bathroom. don't ask me how they found tomatoes that are bitter???. And omfg the seasoning they use. I wish I could complain that its bland but holy shit its just so shit. I wish this was just one Cinci chili place but nah...everywhere. I grew up here, i've tried it all and im surprised my enamel is still in tack from how many times ive vomited it out	Public transpo is fine, but will likely need a car	Very, very humid in summer. And spring. And sometimes fall.	what's the dating scene like in cincy? +2		Larger pocket of South Asian population in the suburbs, more diversity downtown, leans more conservative in the suburbs, more liberal in downtown	
